['Salim Görür', ('Salim Görür', 6)]
["We're a Happy Family - A Tribute to Ramones", ("We're a Happy Family - A Tribute to Ramones", 4)]
['Penlux Mooninta', ('Penlux Mooninta', 1)]
['railway from Hamm', ('Hamm–Warburg railway', 51)]
['(Jun–Oct) 59', ('List of members of the parliament of Iceland, June 1959–October 1959', 1)]
['Sherman, Reginald', ('Reginald A. Sherman', 1)]
['Wuhan-Shanghai', ('Hefei–Wuhan High-Speed Railway', 3)]
['Braden, West Virginia', ('Braden, West Virginia', 1)]
["blown up by an assassin's bomb", ('Assassination of Archduke Franz Ferdinand of Austria', 94)]
['pH buffer', ('Buffer solution', 36)]
['&lt;/nowiki&gt;DSO*&lt;nowiki&gt;', ('&lt;/nowiki&gt;Distinguished Service Order and Bar&lt;nowiki&gt;', 2)]
['rhineurid', ('rhineurid', 2)]
['DS Karen Williams', ('DS Karen Williams', 1)]
['Rudy del Rosario', ('Rudy del Rosario', 3)]
['Rancourt/Yatsuk', ('Rancourt/Yatsuk', 1)]
['Wikipedia_talk:WikiProject_Spam/2007_Archive_JulGameTZ.com  \t  GameTZ.com', ('Wikipedia_talk:WikiProject_Spam/2007_Archive_Jul', 16)]
['Achilles tendons', ('Achilles tendon', 16)]
['maulet', ('maulets (history)', 1)]
['Twin Rivers Conference', ('Twin Rivers Conference', 2)]
['Waikato District health Board', ('Waikato District health Board', 1)]
['Nobuatsu Aoki', ('Nobuatsu Aoki', 222)]
['Russula subsulphurea', ('Russula subsulphurea', 1)]
['Liftport', ('Liftport', 1)]
['Alberto Oreamuno Flores', ('Alberto Oreamuno Flores', 4)]
['Mariano Nicolas Plotinsky', ('Mariano Nicolas Plotinsky', 1)]
['Ashfaque Munier', ('Mishuk Munier', 12)]
['Säde', ('Markus Säde', 1)]
['Anglo Bubbly', ('Anglo Bubbly (gum)', 1)]
['Land treatment', ('Land treatment', 1)]
['Cyclone Laurence', ('Cyclone Laurence', 6)]
['William Gollar', ('William Gollar', 1)]
['Olivella altatae', ('Olivella altatae', 1)]
['Genie (Dungeons &amp; Dragons)', ('Genie (Dungeons &amp; Dragons)', 22)]
['Bridgie Webber', ('Bridgie Webber', 6)]
['Charles II de Lorraine de Vaudémont', ('Charles II de Lorraine de Vaudémont', 1)]
['Aleesha Miller', ('List of EastEnders characters (2004)', 3)]
['Siate Tokolahi', ('Siate Tokolahi', 15)]
['Marcus Holman', ('Marcus Holman', 3)]
['Cashmire Records', ('Cashmire Records', 1)]
['tax_reforms', ('Vespasian', 1004)]
['Bivar', ('Adrian David Hugh Bivar', 4)]
['Al waghmeel', ('Al waghmeel', 1)]
['Tunisian National Team', ('Tunisia national football team', 130)]
['Muhammad Sajid', ('Muhammad Sajid', 2)]
['L. gomezi', ('Lutzomyia gomezi', 1)]
["Arturo Escobar's", ('Arturo Escobar (anthropologist)', 9)]
['nasty rash', ('snake', 11)]
['3 .Ang Mo Kio Ave 10', ('3 .Ang Mo Kio Ave 10', 1)]
['Leech_collector', ('Leech_collector', 1)]
['Nadia Bachmann', ('Nadia Bachmann', 1)]
['3D: PE', ('Tekken 3D: Prime Edition', 52)]
['National Library of Quebec', ('Bibliothèque et Archives nationales du Québec', 97)]
['Felix Timmermans', ('Felix Timmermans (train)', 2)]
['Daguet', ('Opération Daguet', 34)]
['Centrum, Malmö', ('Centrum, Malmö', 1)]
['Anna Blomberg', ('Anna Blomberg', 12)]
['Kelp Highway Hypothesis', ('Jon M. Erlandson', 6)]
