['Salim Görür', ['Salim Görür', 'Salim Görür']]
["We're a Happy Family - A Tribute to Ramones", ["We're a Happy Family - A Tribute to Ramones"]]
['Penlux Mooninta', ['Penlux Mooninta']]
['railway from Hamm', ['Hamm–Warburg railway']]
['(Jun–Oct) 59', ['List of members of the parliament of Iceland, June 1959–October 1959']]
['Sherman, Reginald', ['Reginald A. Sherman']]
['Wuhan-Shanghai', ['Hefei–Wuhan High-Speed Railway']]
['Braden, West Virginia', ['Braden, West Virginia']]
["blown up by an assassin's bomb", ['Assassination of Archduke Franz Ferdinand of Austria']]
['pH buffer', ['Buffer solution']]
['&lt;/nowiki&gt;DSO*&lt;nowiki&gt;', ['&lt;/nowiki&gt;Distinguished Service Order and Bar&lt;nowiki&gt;']]
['rhineurid', ['rhineurid']]
['DS Karen Williams', ['DS Karen Williams']]
['Rudy del Rosario', ['Rudy del Rosario']]
['Rancourt/Yatsuk', ['Rancourt/Yatsuk']]
['Wikipedia_talk:WikiProject_Spam/2007_Archive_JulGameTZ.com  \t  GameTZ.com', ['Wikipedia_talk:WikiProject_Spam/2007_Archive_Jul']]
['Achilles tendons', ['Achilles tendon']]
['maulet', ['maulets (history)']]
['Twin Rivers Conference', ['Twin Rivers Conference']]
['Waikato District health Board', ['Waikato District health Board']]
['Nobuatsu Aoki', ['Nobuatsu Aoki']]
['Russula subsulphurea', ['Russula subsulphurea']]
['Liftport', ['Liftport']]
['Alberto Oreamuno Flores', ['Alberto Oreamuno Flores']]
['Mariano Nicolas Plotinsky', ['Mariano Nicolas Plotinsky']]
['Ashfaque Munier', ['Mishuk Munier']]
['Säde', ['Markus Säde']]
['Anglo Bubbly', ['Anglo Bubbly (gum)']]
['Land treatment', ['Land treatment']]
['Cyclone Laurence', ['Cyclone Laurence']]
['William Gollar', ['William Gollar']]
['Olivella altatae', ['Olivella altatae']]
['Genie (Dungeons &amp; Dragons)', ['Genie (Dungeons &amp; Dragons)']]
['Bridgie Webber', ['Bridgie Webber']]
['Charles II de Lorraine de Vaudémont', ['Charles II de Lorraine de Vaudémont']]
['Aleesha Miller', ['List of EastEnders characters (2004)']]
['Siate Tokolahi', ['Siate Tokolahi']]
['Marcus Holman', ['Marcus Holman']]
['Cashmire Records', ['Cashmire Records']]
['tax_reforms', ['Vespasian']]
['Bivar', ['Adrian David Hugh Bivar']]
['Al waghmeel', ['Al waghmeel']]
['Tunisian National Team', ['Tunisia national football team']]
['Muhammad Sajid', ['Muhammad Sajid']]
['L. gomezi', ['Lutzomyia gomezi']]
["Arturo Escobar's", ['Arturo Escobar (anthropologist)']]
['nasty rash', ['snake']]
['3 .Ang Mo Kio Ave 10', ['3 .Ang Mo Kio Ave 10']]
['Leech_collector', ['Leech_collector']]
['Nadia Bachmann', ['Nadia Bachmann']]
['3D: PE', ['Tekken 3D: Prime Edition']]
